Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
MondayNight,07/01/19,M,M,0,0,M
MondayNight,01/14/19,M,0,M,0,0
MondayNight,01/21/19,M,M,0,0,M
MondayNight,01/28/19,M,0,M,0,0
MondayNight,04/02/19,M,M,0,0,0
MondayNight,11/02/19,M,0,M,0,0
MondayNight,02/18/19,M,M,0,0,0
MondayNight,02/25/19,M,0,M,0,0
MondayNight,04/03/19,M,M,0,0,0
MondayNight,11/03/19,M,0,M,0,0
MondayNight,03/18/19,M,M,0,M,0
MondayNight,03/25/19,M,0,M,0,0
MondayNight,01/04/19,M,M,0,M,0
MondayNight,08/04/19,M,0,M,0,0
MondayNight,04/15/19,M,M,0,M,0
MondayNight,04/22/19,M,0,M,0,0
MondayNight,04/29/19,M,M,0,M,0
MondayNight,06/05/19,M,0,M,0,0
MondayNight,05/13/19,M,M,0,M,0
MondayNight,05/20/19,M,0,M,0,0
MondayNight,05/27/19,M,M,0,M,0
MondayNight,03/06/19,M,0,M,0,0
MondayNight,10/06/19,M,M,0,M,0
MondayNight,06/17/19,M,0,M,0,0
MondayNight,06/24/19,M,M,0,M,0
MondayNight,01/07/19,M,0,M,0,0
MondayNight,08/07/19,M,M,0,M,0
MondayNight,07/15/19,M,0,M,0,0
MondayNight,07/22/19,M,M,0,M,0
MondayNight,07/29/19,M,0,M,0,0
MondayNight,05/08/19,M,M,0,M,0
MondayNight,12/08/19,M,0,M,0,0
MondayNight,08/19/19,M,M,0,M,0
MondayNight,08/26/19,M,0,M,0,0
MondayNight,02/09/19,M,M,0,M,0
MondayNight,09/09/19,M,0,M,0,0
MondayNight,09/16/19,M,M,0,M,0
MondayNight,09/23/19,M,0,M,0,0
MondayNight,09/30/19,M,M,0,M,0
MondayNight,07/10/19,M,0,M,0,0
MondayNight,10/14/19,M,M,0,M,0
MondayNight,10/21/19,M,0,M,0,0
MondayNight,10/28/19,M,M,0,M,0
MondayNight,04/11/19,M,0,M,0,0
MondayNight,11/11/19,M,M,0,M,0
MondayNight,11/18/19,M,0,M,0,0
MondayNight,11/25/19,M,M,0,M,0
MondayNight,02/12/19,M,0,M,0,0
MondayNight,09/12/19,M,M,0,M,0
MondayNight,12/16/19,M,0,M,0,0
MondayNight,12/23/19,M,M,0,0,0
MondayNight,12/30/19,M,0,M,0,0
Tuesday 1,01/01/19,T,0,T,0,0
Tuesday 1,08/01/19,T,T,0,0,T
Tuesday 1,01/15/19,T,0,T,0,0
Tuesday 1,01/22/19,T,T,0,0,T
Tuesday 1,01/29/19,T,0,T,0,0
Tuesday 1,05/02/19,T,T,0,0,0
Tuesday 1,12/02/19,T,0,T,0,0
Tuesday 1,02/19/19,T,T,0,T,0
Tuesday 1,02/26/19,T,0,T,0,0
Tuesday 1,05/03/19,T,T,0,T,0
Tuesday 1,12/03/19,T,0,T,0,0
Tuesday 1,03/19/19,T,T,0,T,0
Tuesday 1,03/26/19,T,0,T,0,0
Tuesday 1,02/04/19,T,T,0,T,0
Tuesday 1,09/04/19,T,0,T,0,0
Tuesday 1,04/16/19,T,T,0,T,0
Tuesday 1,04/23/19,T,0,T,0,0
Tuesday 1,04/30/19,T,T,0,T,0
Tuesday 1,07/05/19,T,0,T,0,0
Tuesday 1,05/14/19,T,T,0,T,0
Tuesday 1,05/21/19,T,0,T,0,0
Tuesday 1,05/28/19,T,T,0,T,0
Tuesday 1,04/06/19,T,0,T,0,0
Tuesday 1,11/06/19,T,T,0,T,0
Tuesday 1,06/18/19,T,0,T,0,0
Tuesday 1,06/25/19,T,T,0,T,0
Tuesday 1,02/07/19,T,0,T,0,0
Tuesday 1,09/07/19,T,T,0,T,0
Tuesday 1,07/16/19,T,0,T,0,0
Tuesday 1,07/23/19,T,T,0,T,0
Tuesday 1,07/30/19,T,0,T,0,0
Tuesday 1,06/08/19,T,T,0,T,0
Tuesday 1,08/13/19,T,0,T,0,0
Tuesday 1,08/20/19,T,T,0,T,0
Tuesday 1,08/27/19,T,0,T,0,0
Tuesday 1,03/09/19,T,T,0,T,0
Tuesday 1,10/09/19,T,0,T,0,0
Tuesday 1,09/17/19,T,T,0,T,0
Tuesday 1,09/24/19,T,0,T,0,0
Tuesday 1,01/10/19,T,T,0,T,0
Tuesday 1,08/10/19,T,0,T,0,0
Tuesday 1,10/15/19,T,T,0,T,0
Tuesday 1,10/22/19,T,0,T,0,0
Tuesday 1,10/29/19,T,T,0,T,0
Tuesday 1,05/11/19,T,0,T,0,0
Tuesday 1,12/11/19,T,T,0,T,0
Tuesday 1,11/19/19,T,0,T,0,0
Tuesday 1,11/26/19,T,T,0,T,0
Tuesday 1,03/12/19,T,0,T,0,0
Tuesday 1,10/12/19,T,T,0,T,0
Tuesday 1,12/17/19,T,0,T,0,0
Tuesday 1,12/24/19,T,T,0,0,0
Tuesday 1,12/31/19,T,0,T,0,0
Tuesday 2,01/01/19,T,T,0,0,T
Tuesday 2,08/01/19,T,0,T,0,0
Tuesday 2,01/15/19,T,T,0,0,T
Tuesday 2,01/22/19,T,0,T,0,0
